index,Reference Number,Easting,Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle 1,Casualty Class 1,Casualty Severity 1,Sex of Casualty 1,Age of Casualty 1,Type of Vehicle 2,Casualty Class 2,Casualty Severity 2,Sex of Casualty 2,Age of Casualty 2,Type of Vehicle 3,Casualty Class 3,Casualty Severity 3,Sex of Casualty 3,Age of Casualty 3,Type of Vehicle 4,Casualty Class 4,Casualty Severity 4,Sex of Casualty 4,Age of Casualty 4,Type of Vehicle 5,Casualty Class 5,Casualty Severity 5,Sex of Casualty 5,Age of Casualty 5,Type of Vehicle 6,Casualty Class 6,Casualty Severity 6,Sex of Casualty 6,Age of Casualty 6
0,5131732,415809,422277,2,03/01/2018,2054,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Car,Driver or rider,Slight,Male,25,Taxi/Private hire car,Vehicle or pillion passenger,Slight,Male,41,,Vehicle or pillion passenger,Slight,Male,38,,,,,,,,,,,,,,,
1,5140196,414478,422719,2,04/01/2018,551,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Car,Driver or rider,Slight,Male,51,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
2,5151479,411718,427905,2,05/01/2018,1650,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,51,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
3,51A0239,409779,425728,2,10/01/2018,744,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Slight,Male,43,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
4,5.10E+227,416632,422355,4,14/01/2018,348,Motorway,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,38,Car,Driver or rider,Slight,Male,35,Car,Driver or rider,Slight,Male,36,Car,Driver or rider,Slight,Male,45,,Vehicle or pillion passenger,Slight,Male,40,,,,,
5,51E0855,414084,423183,2,14/01/2018,1325,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,45,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
6,51E1541,397849,426756,2,14/01/2018,1915,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious,Male,21,Motorcycle over 500cc,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
7,51E1807,408231,426388,2,14/01/2018,2030,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Driver or rider,Slight,Male,57,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
8,51G0202,415279,424105,1,16/01/2018,714,Unclassified,Frost / Ice,Darkness: no street lighting,Fine without high winds,M/cycle 50cc and under,Driver or rider,Slight,Male,16,,,,,,,,,,,,,,,,,,,,,,,,,
9,51G0210,405791,423414,1,16/01/2018,630,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Female,39,,,,,,,,,,,,,,,,,,,,,,,,,
